Experience,Skills,Education,Certifications,Languages Known,Job Suitability Score
7,"Matlab, Statistics, Data Mining",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Chinese",85
2,"AWS, Cloud Computing, DevOps",Bachelors in IT,Certified Software Developer,"English, German",54
2,"C++, Algorithms, Data Structures",Masters in Data Science,Certified Data Scientist,"English, Spanish",21
15,"AWS, Cloud Computing, DevOps",Masters in Data Science,Certified Database Administrator,"English, German",74
3,"C++, Algorithms, Data Structures",Bachelors in IT,Certified Software Developer,"English, Japanese",38
14,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified Data Scientist,"English, Russian",46
19,"Java, Spring, Microservices",Masters in Statistics,Certified Statistician,"English, Japanese",4
11,"Matlab, Statistics, Data Mining",Bachelors in Computer Science,Certified Data Analyst,"English, Japanese",60
1,"Java, Spring, Microservices",Masters in Data Science,Certified Data Analyst,"English, Spanish",57
1,"AWS, Cloud Computing, DevOps",Masters in Statistics,Certified Database Administrator,"English, Italian",45
16,"R, Data Visualization, Deep Learning",Bachelors in Computer Science,Certified Software Developer,"English, Chinese",20
9,"SQL, Database Management, ETL",Bachelors in Mathematics,Certified Data Scientist,"English, German",17
3,"C++, Algorithms, Data Structures",Bachelors in Computer Science,Certified Software Developer,"English, Spanish",71
17,"Java, Spring, Microservices",Masters in Computer Engineering,Certified Statistician,"English, Japanese",4
19,"Python, Data Analysis, Machine Learning",Masters in Computer Engineering,Certified Data Analyst,"English, Spanish",93
10,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified Statistician,"English, Spanish",14
18,"SQL, Database Management, ETL",Masters in Computer Engineering,Certified Data Analyst,"English, Chinese",3
11,"R, Data Visualization, Deep Learning",Masters in Statistics,Certified Database Administrator,"English, Chinese",88
10,"HTML, CSS, JavaScript",Bachelors in IT,Certified Software Developer,"English, Spanish",80
8,"HTML, CSS, JavaScript",Bachelors in IT,Certified Software Developer,"English, Spanish",58
5,"Matlab, Statistics, Data Mining",Masters in Statistics,Certified AI Specialist,"English, Japanese",55
19,"Python, Data Analysis, Machine Learning",Masters in Computer Engineering,Certified Statistician,"English, Spanish",4
17,"Python, Data Analysis, Machine Learning",Masters in Data Science,Certified Software Developer,"English, Chinese",24
15,"AWS, Cloud Computing, DevOps",PhD in AI,Certified Statistician,"English, Japanese",34
14,"AWS, Cloud Computing, DevOps",Masters in Computer Engineering,Certified Data Scientist,"English, Chinese",30
19,"Java, Spring, Microservices",PhD in AI,Certified Data Scientist,"English, German",82
18,"SAS, Predictive Modeling, Data Wrangling",Bachelors in IT,Certified Data Analyst,"English, Spanish",19
19,"Python, NLP, Neural Networks",Bachelors in Mathematics,Certified Database Administrator,"English, Spanish",31
7,"HTML, CSS, JavaScript",Bachelors in IT,Certified Database Administrator,"English, Russian",60
14,"HTML, CSS, JavaScript",Bachelors in IT,Certified Data Analyst,"English, Russian",60
12,"SQL, Database Management, ETL",Masters in Computer Engineering,Certified Machine Learning Expert,"English, German",19
5,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified Data Scientist,"English, Japanese",49
20,"SAS, Predictive Modeling, Data Wrangling",PhD in AI,Certified AI Specialist,"English, French",63
9,"SAS, Predictive Modeling, Data Wrangling",Masters in Data Science,Certified Data Scientist,"English, Russian",83
9,"AWS, Cloud Computing, DevOps",Masters in Computer Engineering,Certified Software Developer,"English, Russian",22
16,"C++, Algorithms, Data Structures",Bachelors in Computer Science,Certified Software Developer,"English, Spanish",24
4,"C++, Algorithms, Data Structures",Bachelors in Computer Science,Certified AI Specialist,"English, Japanese",76
14,"HTML, CSS, JavaScript",Masters in Data Science,Certified Software Developer,"English, Chinese",30
3,"C++, Algorithms, Data Structures",Bachelors in Mathematics,Certified Database Administrator,"English, German",58
20,"C++, Algorithms, Data Structures",Bachelors in IT,Certified AI Specialist,"English, French",31
17,"SQL, Database Management, ETL",PhD in AI,Certified Software Developer,"English, Italian",100
5,"AWS, Cloud Computing, DevOps",Masters in Statistics,Certified AI Specialist,"English, Chinese",64
16,"HTML, CSS, JavaScript",Bachelors in Mathematics,Certified Statistician,"English, German",19
7,"AWS, Cloud Computing, DevOps",Masters in Data Science,Certified AI Specialist,"English, Japanese",48
10,"AWS, Cloud Computing, DevOps",Masters in Computer Engineering,Certified Database Administrator,"English, German",45
18,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified Statistician,"English, German",100
3,"SQL, Database Management, ETL",Bachelors in Mathematics,Certified Machine Learning Expert,"English, Italian",94
7,"Python, Data Analysis, Machine Learning",Masters in Computer Engineering,Certified Machine Learning Expert,"English, German",55
3,"C++, Algorithms, Data Structures",Masters in Data Science,Certified AI Specialist,"English, Italian",55
2,"R, Data Visualization, Deep Learning",Bachelors in Computer Science,Certified Software Developer,"English, Japanese",97
9,"SQL, Database Management, ETL",Bachelors in Computer Science,Certified Machine Learning Expert,"English, French",18
11,"Python, Data Analysis, Machine Learning",PhD in AI,Certified AI Specialist,"English, Japanese",63
2,"C++, Algorithms, Data Structures",Masters in Statistics,Certified Software Developer,"English, French",92
5,"AWS, Cloud Computing, DevOps",Masters in Computer Engineering,Certified Database Administrator,"English, Spanish",47
12,"Python, Data Analysis, Machine Learning",Masters in Data Science,Certified Software Developer,"English, Japanese",75
18,"R, Data Visualization, Deep Learning",Masters in Data Science,Certified Database Administrator,"English, German",57
20,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Computer Science,Certified Data Analyst,"English, Russian",45
13,"AWS, Cloud Computing, DevOps",Bachelors in Computer Science,Certified Statistician,"English, Russian",33
8,"SQL, Database Management, ETL",Masters in Statistics,Certified Machine Learning Expert,"English, Italian",17
6,"R, Data Visualization, Deep Learning",Masters in Statistics,Certified Statistician,"English, Chinese",70
3,"R, Data Visualization, Deep Learning",Bachelors in Mathematics,Certified Database Administrator,"English, Chinese",4
15,"Python, Data Analysis, Machine Learning",Masters in Data Science,Certified Data Analyst,"English, Italian",20
10,"Matlab, Statistics, Data Mining",Masters in Data Science,Certified Statistician,"English, Italian",47
7,"HTML, CSS, JavaScript",Bachelors in Computer Science,Certified Data Scientist,"English, German",91
12,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified Data Scientist,"English, German",15
15,"SQL, Database Management, ETL",Bachelors in Mathematics,Certified Software Developer,"English, Japanese",70
9,"R, Data Visualization, Deep Learning",Bachelors in IT,Certified Statistician,"English, French",47
17,"Java, Spring, Microservices",Masters in Computer Engineering,Certified Data Analyst,"English, German",78
8,"C++, Algorithms, Data Structures",PhD in AI,Certified Database Administrator,"English, Chinese",75
11,"SQL, Database Management, ETL",Masters in Computer Engineering,Certified AI Specialist,"English, Japanese",9
5,"Java, Spring, Microservices",Masters in Statistics,Certified Machine Learning Expert,"English, Spanish",90
14,"C++, Algorithms, Data Structures",PhD in AI,Certified Database Administrator,"English, Russian",16
17,"C++, Algorithms, Data Structures",Bachelors in IT,Certified AI Specialist,"English, French",69
2,"Java, Spring, Microservices",Masters in Computer Engineering,Certified Database Administrator,"English, Russian",61
13,"Python, Data Analysis, Machine Learning",Bachelors in Computer Science,Certified Machine Learning Expert,"English, Chinese",10
9,"Java, Spring, Microservices",Bachelors in Computer Science,Certified Data Scientist,"English, Japanese",50
18,"R, Data Visualization, Deep Learning",Masters in Data Science,Certified Software Developer,"English, Japanese",3
14,"HTML, CSS, JavaScript",Masters in Computer Engineering,Certified Database Administrator,"English, Japanese",77
2,"HTML, CSS, JavaScript",Masters in Statistics,Certified Database Administrator,"English, Italian",94
14,"C++, Algorithms, Data Structures",Bachelors in Computer Science,Certified Software Developer,"English, Spanish",70
15,"Python, Data Analysis, Machine Learning",Masters in Statistics,Certified Statistician,"English, Spanish",81
7,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Database Administrator,"English, Chinese",51
19,"C++, Algorithms, Data Structures",Bachelors in Computer Science,Certified Database Administrator,"English, Italian",19
18,"SQL, Database Management, ETL",Masters in Data Science,Certified AI Specialist,"English, Russian",42
8,"SAS, Predictive Modeling, Data Wrangling",Bachelors in IT,Certified Data Scientist,"English, Italian",35
9,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Mathematics,Certified AI Specialist,"English, Italian",46
10,"AWS, Cloud Computing, DevOps",PhD in AI,Certified Data Scientist,"English, Japanese",26
18,"Python, NLP, Neural Networks",Masters in Statistics,Certified Database Administrator,"English, Russian",69
17,"Matlab, Statistics, Data Mining",PhD in AI,Certified Data Analyst,"English, Chinese",93
7,"SAS, Predictive Modeling, Data Wrangling",Bachelors in IT,Certified Machine Learning Expert,"English, Italian",64
18,"Matlab, Statistics, Data Mining",Bachelors in Computer Science,Certified Statistician,"English, Italian",37
10,"Java, Spring, Microservices",Bachelors in IT,Certified Data Scientist,"English, Italian",84
6,"AWS, Cloud Computing, DevOps",Bachelors in Computer Science,Certified Data Scientist,"English, French",49
11,"C++, Algorithms, Data Structures",Bachelors in Computer Science,Certified Software Developer,"English, French",21
8,"AWS, Cloud Computing, DevOps",Masters in Data Science,Certified Data Scientist,"English, Spanish",74
13,"HTML, CSS, JavaScript",Bachelors in Computer Science,Certified Data Analyst,"English, Spanish",64
10,"Java, Spring, Microservices",Masters in Statistics,Certified AI Specialist,"English, Japanese",5
13,"Python, Data Analysis, Machine Learning",Masters in Data Science,Certified Data Analyst,"English, Chinese",100
5,"SAS, Predictive Modeling, Data Wrangling",PhD in AI,Certified Statistician,"English, Spanish",70
18,"Java, Spring, Microservices",Bachelors in Computer Science,Certified Data Analyst,"English, Italian",90
2,"Python, Data Analysis, Machine Learning",Bachelors in IT,Certified Data Analyst,"English, Russian",4
11,"Java, Spring, Microservices",PhD in AI,Certified Software Developer,"English, French",39
11,"C++, Algorithms, Data Structures",Bachelors in Computer Science,Certified Statistician,"English, Spanish",35
2,"C++, Algorithms, Data Structures",Masters in Statistics,Certified AI Specialist,"English, Chinese",1
15,"AWS, Cloud Computing, DevOps",Bachelors in Computer Science,Certified Software Developer,"English, Italian",24
15,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Data Scientist,"English, Russian",57
9,"SQL, Database Management, ETL",Bachelors in Computer Science,Certified Software Developer,"English, Japanese",100
2,"Java, Spring, Microservices",Masters in Data Science,Certified Data Analyst,"English, Spanish",70
13,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified AI Specialist,"English, Chinese",41
12,"Python, Data Analysis, Machine Learning",PhD in AI,Certified Machine Learning Expert,"English, Italian",54
15,"Python, NLP, Neural Networks",Bachelors in Mathematics,Certified Data Analyst,"English, Chinese",46
20,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Computer Science,Certified Data Scientist,"English, French",60
11,"Python, NLP, Neural Networks",Bachelors in Mathematics,Certified AI Specialist,"English, French",60
12,"HTML, CSS, JavaScript",Bachelors in IT,Certified Software Developer,"English, Italian",57
3,"C++, Algorithms, Data Structures",Masters in Statistics,Certified Database Administrator,"English, French",31
12,"R, Data Visualization, Deep Learning",Bachelors in Mathematics,Certified Software Developer,"English, German",84
13,"SQL, Database Management, ETL",Masters in Statistics,Certified AI Specialist,"English, German",24
6,"HTML, CSS, JavaScript",Bachelors in Mathematics,Certified Data Scientist,"English, Japanese",89
7,"AWS, Cloud Computing, DevOps",Bachelors in IT,Certified Data Analyst,"English, Japanese",36
19,"Python, NLP, Neural Networks",Masters in Computer Engineering,Certified AI Specialist,"English, Spanish",85
6,"Java, Spring, Microservices",Bachelors in IT,Certified Statistician,"English, Spanish",30
1,"SQL, Database Management, ETL",Masters in Data Science,Certified Data Analyst,"English, Italian",24
20,"R, Data Visualization, Deep Learning",Masters in Data Science,Certified Machine Learning Expert,"English, Italian",30
2,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified Data Analyst,"English, Italian",86
18,"Python, Data Analysis, Machine Learning",Bachelors in Computer Science,Certified Data Scientist,"English, Russian",92
11,"Python, NLP, Neural Networks",PhD in AI,Certified Data Analyst,"English, Japanese",7
11,"Java, Spring, Microservices",Masters in Statistics,Certified AI Specialist,"English, Italian",35
4,"Python, Data Analysis, Machine Learning",Masters in Statistics,Certified Statistician,"English, Spanish",55
2,"Matlab, Statistics, Data Mining",Masters in Statistics,Certified Software Developer,"English, French",92
16,"HTML, CSS, JavaScript",Bachelors in Mathematics,Certified Machine Learning Expert,"English, Italian",14
10,"Java, Spring, Microservices",Masters in Computer Engineering,Certified Statistician,"English, Chinese",10
1,"SQL, Database Management, ETL",Masters in Computer Engineering,Certified Statistician,"English, Chinese",80
20,"C++, Algorithms, Data Structures",Bachelors in Computer Science,Certified Data Analyst,"English, Chinese",16
4,"Python, NLP, Neural Networks",Masters in Data Science,Certified Data Scientist,"English, Spanish",54
8,"C++, Algorithms, Data Structures",Bachelors in IT,Certified Statistician,"English, German",95
4,"SAS, Predictive Modeling, Data Wrangling",Masters in Data Science,Certified Machine Learning Expert,"English, Russian",89
3,"HTML, CSS, JavaScript",Bachelors in Computer Science,Certified Software Developer,"English, Spanish",77
4,"R, Data Visualization, Deep Learning",PhD in AI,Certified Data Analyst,"English, Japanese",70
15,"C++, Algorithms, Data Structures",Masters in Data Science,Certified Data Analyst,"English, Spanish",44
17,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified Software Developer,"English, Chinese",73
13,"HTML, CSS, JavaScript",PhD in AI,Certified Machine Learning Expert,"English, Japanese",45
4,"SAS, Predictive Modeling, Data Wrangling",Bachelors in IT,Certified AI Specialist,"English, Russian",100
20,"AWS, Cloud Computing, DevOps",Bachelors in Mathematics,Certified Data Scientist,"English, German",56
1,"Matlab, Statistics, Data Mining",PhD in AI,Certified Statistician,"English, German",84
5,"C++, Algorithms, Data Structures",Masters in Data Science,Certified Software Developer,"English, French",82
11,"HTML, CSS, JavaScript",Bachelors in IT,Certified Data Scientist,"English, German",57
10,"Python, Data Analysis, Machine Learning",Masters in Data Science,Certified Data Scientist,"English, Chinese",21
15,"C++, Algorithms, Data Structures",PhD in AI,Certified Data Analyst,"English, Chinese",68
13,"Matlab, Statistics, Data Mining",PhD in AI,Certified AI Specialist,"English, Chinese",50
2,"Java, Spring, Microservices",Masters in Data Science,Certified Database Administrator,"English, Russian",33
6,"HTML, CSS, JavaScript",Bachelors in Computer Science,Certified AI Specialist,"English, Italian",91
6,"Java, Spring, Microservices",Bachelors in Computer Science,Certified Data Scientist,"English, Russian",7
1,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Database Administrator,"English, Spanish",70
13,"Python, Data Analysis, Machine Learning",PhD in AI,Certified Software Developer,"English, Spanish",15
20,"R, Data Visualization, Deep Learning",Bachelors in Computer Science,Certified Software Developer,"English, German",82
12,"Python, Data Analysis, Machine Learning",Masters in Computer Engineering,Certified Software Developer,"English, Russian",32
8,"R, Data Visualization, Deep Learning",Bachelors in Computer Science,Certified Software Developer,"English, Italian",75
11,"Python, NLP, Neural Networks",Masters in Computer Engineering,Certified Database Administrator,"English, French",20
9,"SQL, Database Management, ETL",Bachelors in Computer Science,Certified Database Administrator,"English, Russian",88
3,"HTML, CSS, JavaScript",PhD in AI,Certified Statistician,"English, German",15
6,"AWS, Cloud Computing, DevOps",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Japanese",48
1,"C++, Algorithms, Data Structures",Bachelors in Mathematics,Certified Software Developer,"English, Chinese",71
3,"AWS, Cloud Computing, DevOps",Bachelors in Computer Science,Certified Statistician,"English, Chinese",21
5,"Java, Spring, Microservices",Bachelors in Computer Science,Certified Data Analyst,"English, German",42
6,"R, Data Visualization, Deep Learning",Bachelors in Computer Science,Certified Software Developer,"English, Chinese",26
15,"AWS, Cloud Computing, DevOps",Bachelors in IT,Certified Data Analyst,"English, Spanish",14
11,"Matlab, Statistics, Data Mining",PhD in AI,Certified Data Scientist,"English, French",57
19,"Python, Data Analysis, Machine Learning",Bachelors in Computer Science,Certified Data Analyst,"English, German",37
12,"SAS, Predictive Modeling, Data Wrangling",Masters in Data Science,Certified Data Analyst,"English, German",58
2,"HTML, CSS, JavaScript",Bachelors in Computer Science,Certified Software Developer,"English, German",21
1,"Java, Spring, Microservices",Masters in Data Science,Certified Software Developer,"English, Russian",82
6,"Python, NLP, Neural Networks",PhD in AI,Certified Software Developer,"English, German",69
14,"SQL, Database Management, ETL",PhD in AI,Certified Data Scientist,"English, Japanese",3
2,"SQL, Database Management, ETL",PhD in AI,Certified Statistician,"English, German",87
3,"Java, Spring, Microservices",Bachelors in IT,Certified Data Analyst,"English, Russian",90
11,"HTML, CSS, JavaScript",Bachelors in Mathematics,Certified Database Administrator,"English, Chinese",37
4,"C++, Algorithms, Data Structures",Masters in Statistics,Certified Machine Learning Expert,"English, Japanese",88
11,"SQL, Database Management, ETL",PhD in AI,Certified Data Scientist,"English, Italian",49
7,"Python, Data Analysis, Machine Learning",Masters in Data Science,Certified Database Administrator,"English, Russian",19
6,"Matlab, Statistics, Data Mining",Bachelors in Computer Science,Certified Data Scientist,"English, German",89
12,"C++, Algorithms, Data Structures",Bachelors in IT,Certified Machine Learning Expert,"English, Spanish",85
19,"Java, Spring, Microservices",Bachelors in Mathematics,Certified Software Developer,"English, Japanese",12
9,"C++, Algorithms, Data Structures",Masters in Computer Engineering,Certified Database Administrator,"English, Chinese",61
15,"Python, NLP, Neural Networks",Masters in Data Science,Certified Data Scientist,"English, Spanish",41
20,"Python, Data Analysis, Machine Learning",Bachelors in IT,Certified Statistician,"English, German",33
11,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified Data Analyst,"English, Japanese",50
2,"C++, Algorithms, Data Structures",Masters in Data Science,Certified AI Specialist,"English, Russian",68
15,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified Data Analyst,"English, Japanese",71
10,"SAS, Predictive Modeling, Data Wrangling",Masters in Data Science,Certified Machine Learning Expert,"English, Spanish",86
2,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified Data Analyst,"English, Russian",33
16,"SAS, Predictive Modeling, Data Wrangling",PhD in AI,Certified Machine Learning Expert,"English, Spanish",81
4,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Database Administrator,"English, Russian",24
15,"AWS, Cloud Computing, DevOps",Masters in Computer Engineering,Certified Database Administrator,"English, Italian",61
7,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Italian",61
5,"C++, Algorithms, Data Structures",Bachelors in IT,Certified Machine Learning Expert,"English, German",98
15,"HTML, CSS, JavaScript",Bachelors in Mathematics,Certified Machine Learning Expert,"English, Spanish",28
20,"AWS, Cloud Computing, DevOps",Masters in Data Science,Certified Data Scientist,"English, Italian",58
18,"C++, Algorithms, Data Structures",Bachelors in IT,Certified Machine Learning Expert,"English, Japanese",43
2,"Matlab, Statistics, Data Mining",Bachelors in Computer Science,Certified AI Specialist,"English, Spanish",41
12,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Statistician,"English, German",39
19,"R, Data Visualization, Deep Learning",Bachelors in Mathematics,Certified Statistician,"English, German",86
12,"HTML, CSS, JavaScript",Masters in Computer Engineering,Certified Statistician,"English, Italian",49
1,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Machine Learning Expert,"English, German",17
8,"Python, NLP, Neural Networks",Bachelors in Computer Science,Certified AI Specialist,"English, German",98
3,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified Data Scientist,"English, Russian",70
2,"Matlab, Statistics, Data Mining",Masters in Statistics,Certified Database Administrator,"English, Japanese",70
1,"Java, Spring, Microservices",Masters in Computer Engineering,Certified Software Developer,"English, Chinese",98
13,"SQL, Database Management, ETL",Masters in Computer Engineering,Certified Software Developer,"English, French",65
10,"C++, Algorithms, Data Structures",Masters in Statistics,Certified Database Administrator,"English, Italian",74
20,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Italian",85
7,"SQL, Database Management, ETL",Masters in Statistics,Certified Data Analyst,"English, German",5
10,"Python, Data Analysis, Machine Learning",Masters in Statistics,Certified Database Administrator,"English, French",2
1,"SQL, Database Management, ETL",Masters in Statistics,Certified AI Specialist,"English, Russian",22
7,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Database Administrator,"English, Spanish",57
19,"R, Data Visualization, Deep Learning",Bachelors in IT,Certified Statistician,"English, Chinese",66
4,"SQL, Database Management, ETL",Masters in Statistics,Certified Data Scientist,"English, German",74
1,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified Statistician,"English, French",98
9,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Japanese",16
12,"Java, Spring, Microservices",Bachelors in Mathematics,Certified Software Developer,"English, Russian",51
5,"SQL, Database Management, ETL",Bachelors in Mathematics,Certified Statistician,"English, Japanese",39
2,"SQL, Database Management, ETL",Bachelors in Mathematics,Certified Software Developer,"English, Chinese",86
7,"C++, Algorithms, Data Structures",Bachelors in Mathematics,Certified Data Scientist,"English, Russian",76
14,"Python, NLP, Neural Networks",Bachelors in IT,Certified AI Specialist,"English, Russian",88
2,"C++, Algorithms, Data Structures",Bachelors in Mathematics,Certified Data Scientist,"English, Russian",40
17,"Python, NLP, Neural Networks",PhD in AI,Certified Machine Learning Expert,"English, Italian",38
20,"C++, Algorithms, Data Structures",Masters in Computer Engineering,Certified AI Specialist,"English, French",60
10,"Matlab, Statistics, Data Mining",Bachelors in Computer Science,Certified Database Administrator,"English, Russian",59
3,"C++, Algorithms, Data Structures",Masters in Data Science,Certified Machine Learning Expert,"English, Japanese",10
3,"SQL, Database Management, ETL",Masters in Statistics,Certified Statistician,"English, Russian",99
18,"HTML, CSS, JavaScript",Bachelors in Mathematics,Certified Software Developer,"English, Italian",64
10,"Java, Spring, Microservices",Bachelors in Mathematics,Certified Software Developer,"English, Spanish",63
20,"Python, Data Analysis, Machine Learning",Bachelors in IT,Certified Statistician,"English, Chinese",49
4,"HTML, CSS, JavaScript",Bachelors in Computer Science,Certified Machine Learning Expert,"English, Chinese",64
8,"AWS, Cloud Computing, DevOps",Masters in Data Science,Certified Machine Learning Expert,"English, Chinese",32
11,"HTML, CSS, JavaScript",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Italian",7
20,"AWS, Cloud Computing, DevOps",Masters in Data Science,Certified AI Specialist,"English, Chinese",21
20,"SQL, Database Management, ETL",Masters in Statistics,Certified Software Developer,"English, Chinese",20
6,"SQL, Database Management, ETL",Masters in Statistics,Certified Statistician,"English, German",26
18,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Computer Science,Certified Machine Learning Expert,"English, Italian",68
12,"SQL, Database Management, ETL",Masters in Statistics,Certified Software Developer,"English, French",86
12,"Java, Spring, Microservices",Masters in Statistics,Certified Statistician,"English, Russian",15
8,"AWS, Cloud Computing, DevOps",Masters in Data Science,Certified Database Administrator,"English, German",85
12,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified AI Specialist,"English, Italian",79
19,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Mathematics,Certified Machine Learning Expert,"English, German",86
11,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified Database Administrator,"English, French",92
5,"SAS, Predictive Modeling, Data Wrangling",Bachelors in IT,Certified Data Scientist,"English, Spanish",14
2,"HTML, CSS, JavaScript",Masters in Computer Engineering,Certified Software Developer,"English, Russian",27
12,"Java, Spring, Microservices",Masters in Data Science,Certified AI Specialist,"English, French",40
13,"Python, NLP, Neural Networks",Bachelors in Computer Science,Certified Software Developer,"English, Spanish",58
3,"AWS, Cloud Computing, DevOps",PhD in AI,Certified Machine Learning Expert,"English, Russian",28
2,"Java, Spring, Microservices",Masters in Statistics,Certified Data Scientist,"English, Russian",26
2,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Data Analyst,"English, German",63
14,"SQL, Database Management, ETL",Masters in Data Science,Certified AI Specialist,"English, Chinese",66
16,"SQL, Database Management, ETL",Bachelors in Computer Science,Certified Machine Learning Expert,"English, Japanese",25
19,"SAS, Predictive Modeling, Data Wrangling",PhD in AI,Certified Data Scientist,"English, Japanese",3
19,"Python, Data Analysis, Machine Learning",PhD in AI,Certified Statistician,"English, Chinese",72
1,"Matlab, Statistics, Data Mining",Bachelors in Computer Science,Certified Data Analyst,"English, Spanish",44
1,"SQL, Database Management, ETL",Masters in Statistics,Certified Machine Learning Expert,"English, Chinese",97
13,"C++, Algorithms, Data Structures",PhD in AI,Certified Statistician,"English, German",42
19,"SQL, Database Management, ETL",PhD in AI,Certified AI Specialist,"English, Russian",99
14,"C++, Algorithms, Data Structures",PhD in AI,Certified Data Scientist,"English, Japanese",6
18,"HTML, CSS, JavaScript",Bachelors in IT,Certified AI Specialist,"English, Spanish",39
2,"SQL, Database Management, ETL",Masters in Statistics,Certified Software Developer,"English, Spanish",52
3,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Mathematics,Certified Data Analyst,"English, French",23
18,"Python, Data Analysis, Machine Learning",Masters in Statistics,Certified Statistician,"English, German",89
13,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified Data Scientist,"English, German",50
15,"Python, NLP, Neural Networks",Masters in Computer Engineering,Certified Data Analyst,"English, Russian",43
16,"Python, Data Analysis, Machine Learning",Bachelors in Computer Science,Certified Software Developer,"English, Spanish",19
9,"SQL, Database Management, ETL",Bachelors in IT,Certified Data Analyst,"English, Russian",69
2,"C++, Algorithms, Data Structures",Bachelors in IT,Certified AI Specialist,"English, Chinese",51
8,"SQL, Database Management, ETL",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Chinese",11
16,"Java, Spring, Microservices",Bachelors in Mathematics,Certified AI Specialist,"English, Japanese",12
17,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Data Scientist,"English, French",74
9,"SAS, Predictive Modeling, Data Wrangling",Bachelors in IT,Certified Database Administrator,"English, Chinese",8
5,"AWS, Cloud Computing, DevOps",Masters in Data Science,Certified Software Developer,"English, French",24
7,"SQL, Database Management, ETL",PhD in AI,Certified AI Specialist,"English, German",92
7,"Java, Spring, Microservices",Bachelors in Computer Science,Certified Data Analyst,"English, Spanish",41
19,"Matlab, Statistics, Data Mining",Masters in Statistics,Certified Machine Learning Expert,"English, Italian",36
10,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified Software Developer,"English, Russian",85
10,"R, Data Visualization, Deep Learning",Bachelors in IT,Certified Database Administrator,"English, Japanese",72
19,"R, Data Visualization, Deep Learning",Bachelors in Computer Science,Certified Database Administrator,"English, Chinese",55
12,"Java, Spring, Microservices",Bachelors in Mathematics,Certified AI Specialist,"English, Italian",9
8,"SQL, Database Management, ETL",Masters in Statistics,Certified Machine Learning Expert,"English, Japanese",47
1,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified Database Administrator,"English, Spanish",15
1,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Software Developer,"English, Russian",48
13,"Python, Data Analysis, Machine Learning",Masters in Computer Engineering,Certified Database Administrator,"English, Spanish",82
16,"AWS, Cloud Computing, DevOps",PhD in AI,Certified Data Scientist,"English, Japanese",42
15,"AWS, Cloud Computing, DevOps",Bachelors in IT,Certified Database Administrator,"English, French",60
13,"Python, Data Analysis, Machine Learning",Bachelors in IT,Certified Database Administrator,"English, French",84
6,"Python, Data Analysis, Machine Learning",Bachelors in Computer Science,Certified Data Analyst,"English, Chinese",70
11,"Python, Data Analysis, Machine Learning",Masters in Data Science,Certified AI Specialist,"English, Spanish",12
11,"AWS, Cloud Computing, DevOps",Bachelors in IT,Certified AI Specialist,"English, Russian",2
1,"SAS, Predictive Modeling, Data Wrangling",Bachelors in IT,Certified Software Developer,"English, Russian",7
